model_name,hashrate,power_consumption,efficiency,manufacturer,release_date,
S19 Pro,110,3250,29.5,Bitmain,5/11/20,47351.5
M30S++,112,3472,31,MicroBT,8/15/20,47673
Whatsminer M50S,126,3306,26.2,Whatsminer,3/1/22,48079.2
S19j Pro,104,3068,29.5,Bitmain,6/1/21,47549.5
M50,106,3306,31.2,MicroBT,5/15/22,48139.2
AvalonMiner 1246,90,3420,38,Canaan,1/20/21,47764
S19 XP,140,3010,21.5,Bitmain,7/1/22,47914.5
M30S+,100,3400,34,MicroBT,6/15/20,47531
